Age,Gender,Income,Occupation,Awareness,Purchase_Frequency,Environmental_Concern,Health_Concern,Social_Influence,Price_Sensitivity,Availability_Issue,Preferred_Category,Certification_Importance,Reviews_Importance,Brand_Story_Importance,UI_Expectation,Delivery_Expectation,Purchase_Intent
24,Female,High,Student,2,Rarely,2,3,2,5,4,Personal Care,5,4,2,3,2,1.0983997297720693
37,Female,Low,Student,3,Occasionally,3,4,2,1,2,Fashion,5,3,4,5,5,1.0
32,Male,High,Working Professional,2,Occasionally,4,4,1,3,2,Fashion,5,5,4,5,3,1.629161190625271
28,Male,Medium,Working Professional,2,Occasionally,2,3,4,2,3,Food,5,5,2,3,4,1.0
25,Female,Medium,Student,1,Rarely,2,3,2,5,4,Personal Care,3,2,4,3,2,1.0
38,Male,Medium,Student,1,Frequently,2,2,4,1,1,Food,4,5,4,5,3,1.0
24,Female,High,Student,3,Rarely,3,5,1,5,3,Personal Care,5,3,4,4,4,1.0
43,Male,Medium,Student,5,Rarely,5,2,1,1,2,Personal Care,2,4,4,3,5,2.8895499935409568
36,Male,Medium,Working Professional,3,Occasionally,2,4,4,2,2,Home Products,4,5,3,3,5,2.13132609434321
40,Male,Medium,Working Professional,4,Rarely,2,3,3,1,4,Fashion,5,4,4,4,2,3.250420397092026
28,Male,Low,Working Professional,2,Rarely,2,4,1,1,1,Personal Care,5,2,4,5,4,3.999173127662499
28,Female,Low,Working Professional,2,Rarely,5,2,1,2,1,Personal Care,3,3,4,5,3,1.0
41,Male,Medium,Student,1,Occasionally,5,4,1,5,3,Food,3,5,3,4,5,1.0
38,Female,Medium,Working Professional,5,Frequently,2,4,1,5,2,Home Products,3,4,1,3,3,1.5892936012714807
21,Female,Medium,Student,1,Frequently,2,5,4,4,3,Personal Care,5,3,4,4,3,1.2382699999991273
25,Female,Medium,Student,4,Occasionally,4,4,4,5,3,Personal Care,3,4,1,3,3,2.5645381124292363
41,Male,Medium,Student,3,Rarely,5,2,4,5,3,Home Products,5,2,1,5,2,1.1898774597725832
20,Female,Medium,Student,3,Occasionally,4,5,4,1,1,Fashion,4,3,2,3,3,1.0
39,Female,Medium,Student,5,Occasionally,2,4,3,4,2,Fashion,4,3,2,3,2,3.1346043541956945
38,Male,High,Student,1,Rarely,2,2,4,2,3,Personal Care,5,2,1,3,2,1.402665455172853
19,Male,Medium,Working Professional,1,Rarely,2,3,4,2,2,Home Products,2,2,3,3,4,1.8132333141794197
41,Female,Medium,Student,4,Rarely,2,5,1,3,2,Personal Care,5,5,4,3,5,1.9853480654168778
29,Other,Low,Student,3,Occasionally,3,4,3,4,3,Home Products,4,2,4,5,3,2.1511620078149645
23,Male,Medium,Student,1,Rarely,3,4,1,1,3,Home Products,4,2,4,4,4,1.0
19,Female,Medium,Working Professional,5,Frequently,3,5,3,3,4,Food,5,4,2,5,4,1.7296268566423951
38,Female,Medium,Student,3,Rarely,4,2,2,3,1,Home Products,5,3,2,3,4,3.09425740439952
18,Female,Medium,Working Professional,4,Rarely,5,4,3,2,2,Personal Care,5,4,4,4,4,3.130913882374933
29,Other,High,Working Professional,5,Occasionally,2,2,3,5,3,Home Products,4,2,1,3,4,3.369281286987412
43,Female,Low,Student,2,Occasionally,5,5,1,1,3,Food,2,5,2,5,3,1.925294217807211
39,Male,Medium,Working Professional,4,Rarely,3,4,3,4,2,Personal Care,5,4,4,5,4,4.652147100583807
29,Male,Medium,Student,5,Rarely,2,3,3,3,3,Personal Care,4,4,1,3,5,4.795378139261392
42,Male,Low,Student,1,Rarely,2,3,1,1,4,Fashion,5,3,4,3,2,1.0
34,Female,Low,Working Professional,2,Rarely,4,3,2,2,2,Food,4,3,2,4,2,1.5455665207305513
44,Female,Medium,Student,4,Rarely,5,5,2,5,3,Fashion,5,3,3,4,5,4.352001912941718
44,Male,Low,Student,1,Frequently,4,4,2,3,2,Fashion,4,5,3,3,3,1.137222809973099
27,Female,Low,Student,2,Occasionally,3,5,3,2,3,Home Products,5,5,2,4,2,1.8343927567117793
33,Female,Low,Student,3,Occasionally,5,4,1,2,3,Food,3,2,1,3,5,2.0667955554073956
32,Female,Medium,Working Professional,1,Rarely,3,3,2,2,1,Personal Care,5,2,4,3,5,1.0
32,Male,Medium,Student,5,Rarely,4,3,2,1,2,Home Products,4,3,2,3,4,3.2179660582314416
36,Female,Medium,Working Professional,4,Rarely,4,2,2,1,1,Food,5,4,1,5,2,2.3263830378514196
29,Male,High,Student,2,Occasionally,2,5,2,1,3,Personal Care,2,3,4,3,4,1.0
40,Male,Medium,Working Professional,1,Occasionally,5,5,1,5,2,Home Products,5,2,4,3,3,3.2410884637357413
37,Male,Medium,Student,2,Rarely,5,2,2,3,2,Home Products,5,4,2,3,2,3.799344912751498
42,Male,High,Student,4,Occasionally,2,3,3,1,4,Food,5,2,4,4,2,2.7123959670739466
20,Male,Medium,Working Professional,4,Occasionally,5,3,3,5,4,Home Products,2,5,3,3,5,2.425762581226059
22,Female,Medium,Student,1,Rarely,3,5,1,3,3,Food,2,3,3,5,2,1.0
36,Male,Medium,Student,3,Rarely,3,4,4,1,3,Fashion,2,3,4,5,3,1.93813578183022
24,Female,Low,Student,2,Occasionally,4,3,2,2,3,Personal Care,3,4,2,3,3,3.089159144601772
38,Male,Medium,Working Professional,1,Occasionally,3,2,2,4,3,Fashion,2,3,4,3,2,1.3979198567937416
26,Female,Medium,Student,2,Rarely,5,2,3,1,4,Personal Care,3,2,2,3,5,2.7552813833759564
24,Other,Medium,Working Professional,4,Rarely,2,2,1,4,2,Food,5,2,2,5,3,1.897781205679702
35,Male,Low,Student,2,Occasionally,4,5,4,1,1,Personal Care,3,5,3,4,4,3.662492304498355
21,Male,High,Student,3,Rarely,2,5,3,2,2,Fashion,5,2,3,4,3,3.0124909265467212
42,Male,Medium,Working Professional,5,Occasionally,4,5,4,4,2,Fashion,3,4,1,3,2,3.589405670932965
31,Female,Medium,Working Professional,3,Occasionally,4,5,1,5,4,Personal Care,2,2,2,4,4,1.7517518052249874
35,Female,High,Working Professional,2,Rarely,2,2,1,2,2,Fashion,2,5,4,5,2,2.884377452121667
43,Male,Medium,Working Professional,1,Rarely,3,2,1,4,2,Personal Care,3,5,2,3,2,1.0
26,Female,High,Student,4,Occasionally,3,5,3,4,3,Food,3,3,3,4,2,1.4312390425818171
43,Male,Medium,Student,5,Rarely,3,5,1,2,1,Personal Care,2,4,2,3,5,2.4362128999450237
38,Male,Low,Student,1,Rarely,3,2,3,2,2,Home Products,5,2,1,3,5,1.0
19,Female,Medium,Working Professional,1,Occasionally,2,5,3,2,2,Home Products,5,5,4,5,3,2.0835759154856968
37,Male,Medium,Working Professional,3,Rarely,5,5,2,3,1,Home Products,5,2,2,5,2,2.7864368373998634
32,Female,Medium,Student,2,Occasionally,4,5,3,5,3,Fashion,5,5,4,4,4,2.9286502288535834
24,Male,High,Student,3,Rarely,2,5,3,1,4,Food,4,3,4,5,4,1.0
29,Other,Medium,Student,2,Occasionally,3,3,2,4,4,Home Products,5,5,3,3,4,1.5108950565346242
25,Male,Medium,Working Professional,3,Rarely,3,5,4,1,2,Personal Care,4,3,2,5,5,2.3431261924096556
32,Male,High,Student,1,Frequently,2,2,2,2,3,Fashion,4,4,4,4,5,1.0
20,Female,Medium,Student,4,Occasionally,4,2,2,5,4,Fashion,2,2,3,4,2,1.0
31,Male,Medium,Student,2,Rarely,2,2,1,5,4,Home Products,2,2,1,4,4,1.0
34,Other,High,Working Professional,5,Occasionally,2,2,1,3,4,Home Products,3,3,1,5,4,1.1352887652022186
21,Female,Low,Working Professional,5,Rarely,5,5,2,2,4,Personal Care,5,4,2,5,5,5.0
35,Female,Medium,Working Professional,1,Occasionally,2,3,1,4,4,Personal Care,5,3,4,5,5,1.3270658410707852
25,Female,High,Student,3,Frequently,5,4,2,3,2,Food,2,5,2,5,4,3.581429553118569
21,Other,Medium,Student,3,Occasionally,4,4,1,2,4,Food,2,3,4,5,4,1.0
19,Female,Medium,Working Professional,1,Rarely,2,4,3,3,2,Home Products,2,4,3,4,3,1.9856393271982573
23,Female,Medium,Working Professional,5,Occasionally,2,4,1,1,1,Home Products,3,5,1,4,5,3.491382733288837
39,Female,Medium,Student,5,Rarely,3,2,1,2,1,Food,5,2,1,5,2,1.9936813265641562
27,Male,High,Student,3,Occasionally,2,5,3,4,3,Home Products,3,2,1,3,2,1.513561520814164
21,Male,Low,Student,2,Occasionally,3,5,2,4,2,Personal Care,4,2,1,4,4,1.0
39,Female,Low,Student,4,Rarely,3,4,1,2,3,Fashion,4,4,2,3,5,2.192438673484442
35,Male,Low,Working Professional,2,Rarely,3,4,1,3,1,Home Products,5,4,4,3,2,2.2646256365079
43,Male,Medium,Student,5,Occasionally,4,3,3,5,1,Fashion,2,4,2,4,5,1.6306582085252173
29,Male,Medium,Student,2,Occasionally,5,3,3,2,1,Fashion,2,4,3,3,4,2.336115903772451
19,Male,High,Student,4,Rarely,3,3,3,4,1,Food,3,4,1,3,4,4.445625195779034
27,Female,Medium,Student,2,Rarely,2,2,4,1,4,Home Products,4,5,4,4,4,1.0
21,Female,Medium,Student,2,Occasionally,2,5,3,4,1,Food,4,3,2,4,5,1.7321363356834862
31,Male,Low,Student,2,Rarely,3,2,2,5,4,Personal Care,5,2,4,5,2,1.0
33,Female,Medium,Student,2,Rarely,3,2,1,4,4,Food,4,4,2,4,3,1.0
32,Female,Medium,Working Professional,1,Rarely,2,5,1,5,3,Personal Care,2,2,4,3,2,1.6992945658019305
25,Male,Low,Student,5,Rarely,3,3,4,2,4,Home Products,2,4,4,4,5,2.193127640170044
31,Female,Low,Student,4,Occasionally,5,5,1,4,3,Personal Care,2,2,1,5,2,4.499378530031584
40,Male,Low,Working Professional,5,Frequently,5,4,1,3,4,Fashion,5,3,2,4,3,3.767863384743695
42,Male,Low,Working Professional,1,Occasionally,4,3,2,3,4,Personal Care,3,2,3,3,2,1.0
25,Other,Medium,Working Professional,1,Rarely,3,5,1,4,1,Home Products,4,2,4,4,3,1.0
38,Male,Low,Student,1,Occasionally,4,2,2,4,2,Fashion,5,4,3,3,5,1.8206080101570798
33,Female,Medium,Student,1,Occasionally,4,5,4,1,4,Home Products,3,5,1,4,4,1.2470925875309566
30,Female,High,Student,2,Rarely,4,3,2,4,2,Fashion,5,5,3,5,3,1.0
35,Male,Medium,Student,5,Frequently,3,4,3,1,2,Fashion,4,2,4,5,5,1.2807931721105967
32,Female,High,Student,3,Occasionally,4,2,3,1,2,Home Products,2,5,4,4,4,2.923388714775541
38,Other,Medium,Working Professional,4,Frequently,5,4,4,1,4,Food,3,3,4,3,3,2.4903768823747527
41,Male,Medium,Student,1,Occasionally,4,4,1,1,2,Personal Care,3,3,2,5,4,2.459716229612659
43,Female,High,Student,5,Occasionally,5,2,2,2,4,Home Products,5,5,3,3,2,1.6977547044043082
42,Female,Low,Student,1,Rarely,5,5,3,3,1,Food,5,5,2,4,5,1.0
30,Female,High,Student,1,Occasionally,3,5,2,1,4,Home Products,2,3,4,5,5,2.719770172816877
26,Female,Low,Working Professional,1,Rarely,4,4,3,3,3,Home Products,5,5,4,5,5,1.5414869955300576
32,Male,Medium,Student,1,Frequently,3,5,2,1,1,Fashion,4,5,1,3,5,1.321797181916458
30,Female,Low,Working Professional,1,Occasionally,5,3,1,3,2,Personal Care,4,4,1,5,3,1.3135458702221272
18,Female,Medium,Working Professional,4,Frequently,2,4,4,4,2,Personal Care,4,4,4,3,2,1.3171106549188971
